PIN,SalePrice,SqFtTotLiving,NbrLivingUnits,YrBuilt,CurrentZoning,beat,total_noise_dispatches,estimated_dispatch_waste_usd,shadow_tax_penalty_usd,FEMA_Climate_Risk,Heavy_Freight_Zone
2658000305,680000,1160,1,1907,NR3,S2,171,25650,-2641.990294869112,69.22,1
7857000830,593000,1260,1,1952,NR3,S1,221,33150,-3414.502076994583,69.22,0
3438502385,725000,1740,2,1927,NR3,F1,153,22950,-2363.8860533039424,69.22,0
3812400146,510000,640,1,1926,NR3,S2,171,25650,-2641.990294869112,69.22,0
7234600669,639950,900,1,2022,LR3(M),C3,127,19050,-1962.1799265986967,69.22,1
3679400466,550000,1360,1,1948,LR2(M),R1,217,32550,-3352.7011344245457,69.22,1
1773101020,850000,1780,1,1929,NR3,F1,153,22950,-2363.8860533039424,69.22,0
6300500461,530000,1160,1,2008,LR2(M),N3,225,33750,-3476.303019564621,69.22,0
3319500560,749900,1140,1,2022,LR3(M),G2,229,34350,-3538.1039621346586,69.22,0
3438500399,710000,1640,1,1980,NR3,F1,153,22950,-2363.8860533039424,69.22,0
3679400955,799950,1220,1,1929,NR3,R1,217,32550,-3352.7011344245457,69.22,0
5609000110,360000,500,1,1906,NC255(M),R2,298,44700,-4604.170221467809,69.22,0
7220400030,700000,1470,1,1990,LR2(M1),S2,171,25650,-2641.990294869112,69.22,0
9528103429,850000,1470,1,2015,LR3(M),J3,89,13350,-1375.0709721833389,69.22,1
7129303410,659950,1520,1,1980,NR3,S3,189,28350,-2920.094536434281,69.22,0
2487200110,800000,1160,1,1925,NR3,W3,109,16350,-1684.0756850335274,69.22,0
7129300355,597457,1410,2,1913,NR3,S3,189,28350,-2920.094536434281,69.22,0
7518503719,569000,660,1,2019,NC140(M),J2,90,13500,-1390.5212078258485,69.22,0
3486200120,759950,1150,1,2022,LR3(M),C1,152,22800,-2348.435817661433,69.22,1
9811700070,832000,2120,1,1939,NR2,L3,167,25050,-2580.189352299074,69.22,0
1773101610,630000,2160,1,1943,NR3,F1,153,22950,-2363.8860533039424,69.22,0
8165500920,637422,1420,1,2009,LR1(M),F1,153,22950,-2363.8860533039424,69.22,0
4302200720,557000,1350,1,1959,NR3,F2,153,22950,-2363.8860533039424,69.22,0
2768100063,680000,1010,1,2023,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
2768100628,684900,1220,1,2021,LR2(M1),B2,126,18900,-1946.729690956188,69.22,0
1250201915,800000,1250,1,1929,NR3,G3,123,18450,-1900.3789840286595,69.22,0
2558300045,590000,1310,1,1952,NR2,99,1,150,-15.450235642509426,69.22,0
